옵션ID,옵션명,상품명,매출,판매량,주문수,총매출,총판매수,광고비,노출수,클릭수,광고판매수량,마진_상품명,원가,판매가,마진금액,마진율,수수료율,수수료금액
89048355182,"헤누스 셰이버 남자 전기 면도기 생활방수 전동 면도기, 1개, 1개",헤누스 셰이버 남자 전기 면도기 생활방수 전동 면도기,0,0,0,0,0,,,,,,,,,,,
89048355196,"헤누스 셰이버 남자 전기 면도기 생활방수 전동 면도기, 1개, 1개",헤누스 셰이버 남자 전기 면도기 생활방수 전동 면도기,5040000,180,179,5740000,205,1009719.0,510455.0,1711.0,133.0,쉐이버,8851.0,29900.0,13392.0,0.448,0.2,6040.0
89324006502,"헤누스 셰이버 남자 전기 면도기 생활방수 전동 면도기, 1개, 1개",헤누스 셰이버 남자 전기 면도기 생활방수 전동 면도기,44800,2,2,44800,2,,,,,,,,,,,
89341077449,"헤이즈 전동 전기드릴 배터리 드라이버 충전식 세트, 1개",헤이즈 전동 전기드릴 배터리 드라이버 충전식 세트,0,0,0,0,0,,,,,,,,,,,
89393140909,"헤누스 셰이버 남자 전기 면도기 생활방수 전동 면도기, 1개, 1개",헤누스 셰이버 남자 전기 면도기 생활방수 전동 면도기,23800,1,1,47600,2,,,,,,,,,,,
89441875206,"헤누스 셰이버 남자 전기 면도기 생활방수 전동 면도기, 1개, 1개",헤누스 셰이버 남자 전기 면도기 생활방수 전동 면도기,0,0,0,0,0,,,,,,,,,,,
89531817237,"헤몬팜 키토트랩 모기 퇴치기 날파리 트랩 초파리 해충 퇴치기, 네이비",헤몬팜 키토트랩 모기 퇴치기 날파리 트랩 초파리 해충 퇴치기,154400,8,8,154400,8,0.0,0.0,0.0,1.0,모기지옥 네이비,6373.0,19900.0,7515.0,0.378,0.25,4942.0
89531817237,"헤몬팜 키토트랩 모기 퇴치기 날파리 트랩 초파리 해충 퇴치기, 네이비",헤몬팜 키토트랩 모기 퇴치기 날파리 트랩 초파리 해충 퇴치기,154400,8,8,154400,8,55251.0,25360.0,74.0,5.0,모기지옥 네이비,6373.0,19900.0,7515.0,0.378,0.25,4942.0
89531817250,"헤몬팜 키토트랩 모기 퇴치기 날파리 트랩 초파리 해충 퇴치기, 화이트",헤몬팜 키토트랩 모기 퇴치기 날파리 트랩 초파리 해충 퇴치기,57600,3,3,57600,3,6339.0,12747.0,23.0,1.0,모기지옥 화이트,6373.0,19900.0,7515.0,0.378,0.25,4942.0
90677620002,"헤몬팜 키토트랩 모기 퇴치기 날파리 트랩 초파리 해충 퇴치기, 네이비",헤몬팜 키토트랩 모기 퇴치기 날파리 트랩 초파리 해충 퇴치기,0,0,0,0,0,,,,,,,,,,,
91051684498,"헤몬팜 다벤다 예초기 무선 충전식 미니 예초기 배터리, 1개",헤몬팜 다벤다 예초기 무선 충전식 미니 예초기 배터리,0,0,0,0,0,,,,,,,,,,,
91064947736,"헤몬팜 다벤다 예초기 무선 충전식 미니 예초기 배터리, 2개",헤몬팜 다벤다 예초기 무선 충전식 미니 예초기 배터리,0,0,0,0,0,0.0,4.0,0.0,0.0,,,,,,,
91728820234,"헤누스 퓨어컷 남자 전기 면도기 생활방수 전동 면도기, 블랙",헤누스 퓨어컷 남자 전기 면도기 생활방수 전동 면도기,0,0,0,0,0,,,,,,,,,,,
